policy_id,policy_type,state,annual_premium,tenure_months,claim_count_12m,service_requests_90d,payment_status,contact_channel,renewal_flag,retention_risk
P10001,Auto,NC,1587.63,11,0,2,Current,Online,1,Standard
P10002,Home,CO,1350.52,83,0,7,Current,Phone,0,Higher Risk
P10003,Auto,NC,1085.73,40,0,0,Current,Email,0,Higher Risk
P10004,Life,AZ,1446.0,58,0,3,Current,Agent,0,Higher Risk
P10005,Auto,TX,1648.51,96,0,5,Current,Agent,1,Higher Risk
P10006,Auto,FL,1192.02,29,0,3,Pending Review,Email,0,Higher Risk
P10007,Auto,NC,764.71,82,0,4,Current,Online,0,Higher Risk
P10008,Home,NC,1861.75,5,2,6,Past Due,Agent,1,Higher Risk
P10009,Auto,FL,1525.94,81,0,6,Current,Agent,1,Higher Risk
P10010,Life,TX,759.77,19,1,1,Current,Email,1,Standard
P10011,Renters,NC,1577.2,39,1,1,Past Due,Agent,1,Higher Risk
P10012,Auto,CO,2725.89,66,0,5,Current,Phone,1,Higher Risk
P10013,Auto,TX,1836.36,106,1,5,Current,Phone,1,Higher Risk
P10014,Home,TX,1817.0,27,1,0,Current,Online,1,Standard
P10015,Home,TX,2687.4,69,2,0,Current,Agent,1,Higher Risk
P10016,Auto,TX,1175.23,100,0,2,Current,Online,1,Standard
P10017,Auto,TX,2797.4,64,0,2,Current,Phone,0,Higher Risk
P10018,Renters,CO,1632.12,44,0,0,Past Due,Agent,1,Higher Risk
P10019,Auto,FL,877.85,2,0,6,Current,Phone,1,Higher Risk
P10020,Home,AZ,1376.47,1,1,7,Past Due,Phone,1,Higher Risk
P10021,Renters,CO,1287.9,39,0,5,Current,Phone,1,Higher Risk
P10022,Renters,FL,1275.89,91,1,2,Current,Email,0,Higher Risk
P10023,Life,NC,1841.92,69,1,4,Current,Phone,1,Standard
P10024,Home,NC,960.61,22,1,0,Current,Phone,0,Higher Risk
P10025,Life,AZ,1189.02,31,0,0,Current,Online,0,Higher Risk
P10026,Auto,NC,1208.73,10,0,7,Current,Email,1,Higher Risk
P10027,Life,CO,1138.9,16,0,7,Current,Online,0,Higher Risk
P10028,Life,NC,780.75,118,1,5,Current,Phone,0,Higher Risk
P10029,Auto,AZ,1210.87,50,0,7,Current,Phone,1,Higher Risk
P10030,Life,NC,1700.44,57,1,4,Current,Online,1,Standard
P10031,Auto,AZ,1658.39,63,0,3,Current,Email,1,Standard
P10032,Home,TX,2068.13,119,0,2,Current,Phone,1,Standard
P10033,Auto,NC,1295.26,3,0,1,Current,Agent,0,Higher Risk
P10034,Life,FL,730.4,106,0,6,Current,Online,0,Higher Risk
P10035,Renters,AZ,1757.92,116,0,7,Current,Email,1,Higher Risk
P10036,Home,FL,1993.78,65,0,6,Current,Online,0,Higher Risk
P10037,Life,CO,1569.45,17,1,3,Current,Phone,0,Higher Risk
P10038,Auto,AZ,1754.94,61,0,7,Current,Phone,1,Higher Risk
P10039,Home,TX,1483.4,34,0,4,Current,Online,1,Standard
P10040,Renters,TX,964.17,95,0,2,Past Due,Email,1,Higher Risk
P10041,Auto,NC,974.5,3,0,3,Current,Email,1,Standard
P10042,Renters,AZ,2091.21,92,0,1,Current,Online,1,Standard
P10043,Renters,CO,1232.86,54,0,5,Current,Phone,1,Higher Risk
P10044,Life,NC,1271.56,79,0,5,Current,Online,1,Higher Risk
P10045,Life,NC,756.85,11,0,7,Current,Email,1,Higher Risk
P10046,Auto,AZ,666.33,33,0,4,Current,Phone,0,Higher Risk
P10047,Auto,FL,2836.41,25,0,4,Current,Email,1,Standard
P10048,Auto,CO,1391.58,63,0,0,Current,Phone,1,Standard
P10049,Renters,NC,1083.8,74,0,3,Current,Phone,1,Standard
P10050,Home,CO,986.33,1,2,1,Current,Agent,1,Higher Risk
P10051,Home,TX,2532.54,100,0,4,Current,Phone,1,Standard
P10052,Renters,CO,917.84,116,0,3,Current,Phone,1,Standard
P10053,Home,CO,909.6,93,0,1,Current,Phone,0,Higher Risk
P10054,Renters,CO,866.73,68,0,3,Current,Phone,0,Higher Risk
P10055,Life,FL,1955.94,28,0,4,Current,Online,1,Standard
P10056,Renters,NC,970.84,42,0,3,Past Due,Agent,1,Higher Risk
P10057,Home,TX,998.32,117,0,7,Current,Email,0,Higher Risk
P10058,Home,CO,825.76,100,0,1,Current,Online,1,Standard
P10059,Life,FL,1550.2,59,0,4,Current,Online,1,Standard
P10060,Home,AZ,2873.68,83,0,2,Current,Agent,1,Standard
P10061,Home,FL,250.0,2,0,6,Past Due,Email,1,Higher Risk
P10062,Home,TX,1285.66,100,0,5,Current,Online,1,Higher Risk
P10063,Renters,TX,1094.18,17,0,1,Current,Email,1,Standard
P10064,Auto,AZ,1508.18,117,0,6,Current,Online,1,Higher Risk
P10065,Auto,TX,1471.41,67,0,7,Current,Agent,1,Higher Risk
P10066,Home,TX,2007.37,84,0,7,Current,Phone,1,Higher Risk
P10067,Auto,AZ,1683.28,93,1,1,Current,Agent,1,Standard
P10068,Auto,TX,1692.52,15,0,2,Current,Email,1,Standard
P10069,Renters,AZ,2210.51,104,1,4,Current,Phone,0,Higher Risk
P10070,Home,FL,1462.66,79,2,3,Current,Email,1,Higher Risk
P10071,Renters,CO,1060.04,3,0,6,Current,Email,1,Higher Risk
P10072,Auto,CO,2370.21,63,0,7,Current,Phone,0,Higher Risk
P10073,Home,NC,1191.62,24,0,1,Current,Email,0,Higher Risk
P10074,Auto,FL,2275.21,17,0,4,Past Due,Agent,1,Higher Risk
P10075,Life,CO,1971.2,3,0,2,Current,Online,0,Higher Risk
P10076,Home,NC,1327.83,60,0,7,Current,Email,1,Higher Risk
P10077,Life,CO,371.39,103,0,3,Past Due,Online,0,Higher Risk
P10078,Home,NC,1538.03,19,0,2,Current,Email,1,Standard
P10079,Home,AZ,1971.58,27,0,0,Current,Phone,1,Standard
P10080,Auto,AZ,1076.41,32,0,4,Current,Agent,1,Standard
P10081,Home,AZ,1982.8,99,1,2,Current,Email,0,Higher Risk
P10082,Auto,TX,1255.09,63,0,5,Current,Online,1,Higher Risk
P10083,Auto,CO,1243.79,54,0,6,Past Due,Phone,0,Higher Risk
P10084,Auto,FL,1747.71,38,0,2,Current,Agent,1,Standard
P10085,Auto,AZ,918.48,92,0,3,Current,Phone,1,Standard
P10086,Auto,FL,1503.97,90,1,1,Current,Online,1,Standard
P10087,Home,TX,1526.32,31,0,3,Current,Online,1,Standard
P10088,Auto,AZ,1809.08,42,0,2,Current,Online,1,Standard
P10089,Home,NC,957.47,15,0,0,Current,Agent,1,Standard
P10090,Auto,AZ,3162.22,36,2,5,Current,Online,0,Higher Risk
P10091,Home,AZ,1868.91,23,0,6,Current,Phone,0,Higher Risk
P10092,Renters,FL,959.26,27,0,0,Current,Phone,1,Standard
P10093,Home,AZ,1382.01,68,0,5,Current,Phone,0,Higher Risk
P10094,Home,CO,1569.08,11,0,0,Current,Online,1,Standard
P10095,Auto,NC,1609.53,23,0,5,Pending Review,Phone,1,Higher Risk
P10096,Renters,AZ,723.72,84,2,7,Current,Phone,1,Higher Risk
P10097,Renters,CO,1600.57,12,1,7,Current,Phone,1,Higher Risk
P10098,Life,CO,1614.65,106,0,0,Pending Review,Online,0,Higher Risk
